Code site;Adresse;Arrondissement;Opérateur;Type;Mise en service;Mise en service 4G;Mise en service 5G - 3500;Mise en service 5G - 700;se_anno_cad_data;geo_shape;geo_point_2d
75120_067_06;9-13 Rue de srebrenica;75020;FREE MOBILE;3G/4G/5G;12/06/2024;12/06/2024;02/07/2024;;;"{""coordinates"": [2.408111999408943, 48.858848999558816], ""type"": ""Point""}";48.858848999558816, 2.408111999408943
T35893;94 Rue curial;75019;BOUYGUES;;14/11/2018;;;;;"{""coordinates"": [2.3759369995395576, 48.89599200011321], ""type"": ""Point""}";48.89599200011321, 2.3759369995395576
00000239U8;97 Rue du fg st antoine;75011;ORANGE;3G/4G;16/03/2011;20/02/2020;;;;"{""coordinates"": [2.3757102665926566, 48.85153411592365], ""type"": ""Point""}";48.85153411592365, 2.3757102665926566
7510051992;97 Rue de reuilly;75012;SFR;3G/4G/5G;27/09/2024;;;;;"{""coordinates"": [2.390868000270458, 48.84386400017011], ""type"": ""Point""}";48.84386400017011, 2.390868000270458
75107_005_05;209 Boulevard st-germain;75007;FREE MOBILE;3G/4G/5G;02/01/2014;31/12/2013;;;;"{""coordinates"": [2.3250870003203077, 48.85638299976538], ""type"": ""Point""}";48.85638299976538, 2.3250870003203077
75118_027_02;26 Rue trudaine;75009;FREE MOBILE;3G/4G/5G;30/12/2013;30/12/2013;;;;"{""coordinates"": [2.3410979996257093, 48.881025000215956], ""type"": ""Point""}";48.881025000215956, 2.3410979996257093
751222;27 Rue du cotentin;75015;SFR;2G/3G/4G/5G;06/10/2021;;;;;"{""coordinates"": [2.3129685000936604, 48.83850900041788], ""type"": ""Point""}";48.83850900041788, 2.3129685000936604
T15317;28-30 Rue rousselet;75007;BOUYGUES;;28/07/2022;;;;;"{""coordinates"": [2.3187375002552875, 48.8481480000503], ""type"": ""Point""}";48.8481480000503, 2.3187375002552875
75108_005_09;28 Rue de naples;75008;FREE MOBILE;3G/4G/5G;07/11/2014;07/11/2014;08/09/2022;;;"{""coordinates"": [2.3177204998953513, 48.87950399969646], ""type"": ""Point""}";48.87950399969646, 2.3177204998953513
T10657;29 Rue de la solidarite;75019;BOUYGUES;;15/10/2013;;;;;"{""coordinates"": [2.3934420004786845, 48.88435499972809], ""type"": ""Point""}";48.88435499972809, 2.3934420004786845
75101_004_02;29 Rue jean-jacques rousseau;75001;FREE MOBILE;3G/4G/5G;09/11/2012;30/12/2013;;;;"{""coordinates"": [2.3413185006789514, 48.86300699990971], ""type"": ""Point""}";48.86300699990971, 2.3413185006789514
7510052049;293 Rue belleville;75019;SFR;3G/4G/5G;27/12/2024;;;;;"{""coordinates"": [2.4018840003137574, 48.8761199998391], ""type"": ""Point""}";48.8761199998391, 2.4018840003137574
75117_028_02;3 Rue leon cosnard;75017;FREE MOBILE;3G/4G/5G;21/06/2018;10/07/2018;;;;"{""coordinates"": [2.3126490003389137, 48.88362599968765], ""type"": ""Point""}";48.88362599968765, 2.3126490003389137
T41590;3 Rue servan;75011;BOUYGUES;;12/10/2022;;;;;"{""coordinates"": [2.3839649997678105, 48.859127999819236], ""type"": ""Point""}";48.859127999819236, 2.3839649997678105
750441;30 Rue nationale;75013;SFR;2G/3G/4G/5G;19/03/2021;;;;;"{""coordinates"": [2.368330238359602, 48.823922119832666], ""type"": ""Point""}";48.823922119832666, 2.368330238359602
75115_086_01;31 Rue du général beuret;75015;FREE MOBILE;3G/4G/5G;30/08/2021;30/08/2021;28/05/2024;;;"{""coordinates"": [2.3022989993834004, 48.84019199989488], ""type"": ""Point""}";48.84019199989488, 2.3022989993834004
T09211;35 Quai andre citroen;75015;BOUYGUES;;04/02/2025;;;;;"{""coordinates"": [2.279416500629952, 48.847310999887725], ""type"": ""Point""}";48.847310999887725, 2.279416500629952
751256;35 Rue fessart;75019;SFR;2G/3G/4G/5G;10/10/2022;;;;;"{""coordinates"": [2.385314999759695, 48.876696000142054], ""type"": ""Point""}";48.876696000142054, 2.385314999759695
75120_087_02;36 Rue de belleville;75020;FREE MOBILE;3G/4G/5G;10/04/2024;10/04/2024;15/05/2024;;;"{""coordinates"": [2.3803560003194004, 48.872880000151916], ""type"": ""Point""}";48.872880000151916, 2.3803560003194004
T19903;38-40 Rue de galilée;75116;BOUYGUES;;05/01/2015;;;;;"{""coordinates"": [2.296565999919675, 48.87003599970948], ""type"": ""Point""}";48.87003599970948, 2.296565999919675
75120_058_01;4 Rue de la chine;75020;FREE MOBILE;3G/4G/5G;07/04/2020;07/04/2020;;;;"{""coordinates"": [2.400811289361202, 48.86573610610269], ""type"": ""Point""}";48.86573610610269, 2.400811289361202
T15058;4 Ave raphaël;75116;BOUYGUES;;10/12/2004;;;;;"{""coordinates"": [2.2678227329295817, 48.8608671588605], ""type"": ""Point""}";48.8608671588605, 2.2678227329295817
750108;4 Boulevard du palais;75001;SFR;2G/3G/4G;;;;;;"{""coordinates"": [2.345615999440161, 48.855293999574535], ""type"": ""Point""}";48.855293999574535, 2.345615999440161
